NIT,REGIÓN,DEPARTAMENTO DOMICILIO,CIUDAD DOMICILIO,CIIU,MACROSECTOR,INGRESOS OPERACIONALES,GANANCIA (PÉRDIDA),TOTAL ACTIVOS,TOTAL PASIVOS,TOTAL PATRIMONIO,Año de Corte,id_razon_social,id_supervisor
890929122,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,7112,SERVICIOS,$0.03,$0.00,$0.02,$0.01,$0.01,2021,6970,1
901093273,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,4111,CONSTRUCCIÓN,$0.03,-$0.00,$0.07,$0.07,$0.00,2021,10237,1
802017066,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,4731,COMERCIO,$0.03,$0.00,$0.01,$0.00,$0.01,2021,5181,1
860531849,Bogotá - Cundinamarca,CUNDINAMARCA,TENJO -CUNDINAMARCA,2229,MANUFACTURA,$0.03,-$0.00,$0.04,$0.03,$0.01,2021,4592,1
890907215,Antioquia,ANTIOQUIA,CALDAS-ANTIOQUIA,8610,SERVICIOS,$0.03,$0.00,$0.05,$0.01,$0.04,2021,5646,2
830115597,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,6190,SERVICIOS,$0.03,$0.00,$0.03,$0.02,$0.01,2021,5150,1
860001623,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C-BOGOTA D.C.,5229,SERVICIOS,$0.03,$0.00,$0.04,$0.03,$0.01,2021,10238,1
900531626,Centro - Oriente,ANTIOQUIA,COPACABANA -ANTIOQUIA,4620,COMERCIO,$0.03,$0.00,$0.02,$0.01,$0.01,2021,6823,1
900040045,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,910,MINERO,$0.03,$0.00,$0.03,$0.02,$0.01,2021,5602,1
800112061,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4312,CONSTRUCCIÓN,$0.03,$0.00,$0.04,$0.01,$0.03,2021,4295,1
830089785,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,2029,MANUFACTURA,$0.03,$0.00,$0.02,$0.01,$0.01,2021,5820,1
900539662,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,2100,MANUFACTURA,$0.03,$0.00,$0.04,$0.01,$0.03,2021,6010,1
900364145,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4620,COMERCIO,$0.03,$0.00,$0.03,$0.01,$0.02,2021,7861,1
800107800,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4290,CONSTRUCCIÓN,$0.03,$0.01,$0.05,$0.02,$0.03,2021,7718,1
900702527,Costa Pacífica,NARIÑO,PASTO -NARIÑO,4111,CONSTRUCCIÓN,$0.03,$0.00,$0.05,$0.03,$0.02,2021,10239,1
830106416,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,1410,MANUFACTURA,$0.03,$0.00,$0.03,$0.02,$0.01,2021,4777,1
830012595,Bogotá - Cundinamarca,CUNDINAMARCA,TOCANCIPA -CUNDINAMARCA,4659,COMERCIO,$0.03,$0.01,$0.05,$0.02,$0.03,2021,6150,1
900383361,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4659,COMERCIO,$0.03,-$0.00,$0.03,$0.02,$0.01,2021,5291,1
811021246,Antioquia,ANTIOQUIA,LA-ESTRELLA -ANTIOQUIA,4631,COMERCIO,$0.03,$0.00,$0.00,$0.00,$0.00,2021,5467,1
900119726,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,5630,SERVICIOS,$0.03,$0.00,$0.01,$0.01,$0.01,2021,3849,1
900585633,Centro - Oriente,SANTANDER,BUCARAMANGA-SANTANDER,5611,SERVICIOS,$0.03,$0.00,$0.01,$0.00,$0.00,2021,5244,1
900223749,Costa Atlántica,BOLIVAR,CARTAGENA-BOLIVAR,8610,SERVICIOS,$0.03,$0.01,$0.04,$0.01,$0.03,2021,5187,2
817000809,Costa Pacífica,CAUCA,SANTANDER-DE-QUILICHAO-CAUCA,2023,MANUFACTURA,$0.03,$0.00,$0.06,$0.02,$0.04,2021,5458,1
900022108,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,4511,COMERCIO,$0.03,$0.00,$0.01,$0.01,$0.01,2021,5466,1
900394575,Centro - Oriente,NORTE DE SANTANDER,CUCUTA-NORTE DE SANTANDER,8621,SERVICIOS,$0.03,$0.01,$0.02,$0.01,$0.01,2021,5192,2
830007183,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4530,COMERCIO,$0.03,$0.00,$0.08,$0.03,$0.04,2021,5165,1
900880066,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,2310,MANUFACTURA,$0.03,$0.00,$0.03,$0.01,$0.02,2021,4870,1
800026030,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,4664,COMERCIO,$0.03,$0.00,$0.01,$0.00,$0.01,2021,5456,1
890901756,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,122,AGROPECUARIO,$0.03,$0.00,$0.05,$0.01,$0.04,2021,5861,1
860052585,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4731,COMERCIO,$0.03,$0.00,$0.02,$0.01,$0.01,2021,6685,1
900583497,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,1410,MANUFACTURA,$0.03,$0.00,$0.02,$0.01,$0.01,2021,4495,1
837000715,Costa Pacífica,NARIÑO,IPIALES-NARIÑO,4664,COMERCIO,$0.03,$0.00,$0.01,$0.01,$0.00,2021,5509,1
900152454,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4662,COMERCIO,$0.03,$0.00,$0.01,$0.00,$0.01,2021,5976,1
800196426,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,2790,MANUFACTURA,$0.03,$0.00,$0.02,$0.00,$0.02,2021,5539,1
800080730,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4774,COMERCIO,$0.03,$0.00,$0.02,$0.01,$0.01,2021,5375,1
